title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,day_of_week,quarter,magnitude_from_title,city,location_country,magnitude_category,depth_category,seismic_energy,alert_level,distance_from_equator,time_of_day,season,magnitude_depth_ratio,is_coastal
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,2023-08-16 12:47:00,7,4,green,0,657,us,114,7.177,25.0,mww,192.955,-13.8814,167.158,"Sola, Vanuatu",Unknown,Vanuatu,2023,8,16,12,2,3,6.5,Sola,Vanuatu,Major,Intermediate,354813389233576.06,green,13.8814,Morning,Summer,0.03368661086781892,False
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,2023-07-19 00:22:00,8,6,yellow,0,775,us,92,0.679,40.0,mww,69.727,12.814,-88.1265,"Intipucá, El Salvador",Unknown,El Salvador,2023,7,19,0,2,3,6.5,Intipucá,El Salvador,Major,Very Shallow,354813389233576.06,yellow,12.814,Night,Summer,0.09322070360118748,False
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,2023-07-17 03:05:00,7,5,green,0,899,us,70,1.634,28.0,mww,171.371,-38.1911,-70.3731,"Loncopué, Argentina",South America,Argentina,2023,7,17,3,0,3,6.6,Loncopué,Argentina,Great,Intermediate,501187233627271.44,green,38.1911,Night,Summer,0.03851293392697714,False
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,2023-07-16 06:48:00,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.3844,-160.699,"Sand Point, Alaska",Unknown,Alaska,2023,7,16,6,6,3,7.2,Sand Point,Alaska,Severe,Very Shallow,3981071705534985.5,green,54.3844,Night,Summer,0.2210555402044764,True
M 7.3 - Alaska Peninsula,7.3,2023-07-16 06:48:00,0,5,unknown,1,820,at,79,0.879451,172.8,Mi,21.0,54.49,-160.796,Alaska Peninsula,Unknown,Unknown,2023,7,16,6,6,3,7.3,Alaska Peninsula,,Severe,Very Shallow,5623413251903491.0,unknown,54.49,Night,Summer,0.3476190476190476,True
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,2023-07-10 20:28:00,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.0196,-61.0955,"Codrington, Antigua and Barbuda",Unknown,Antigua and Barbuda,2023,7,10,20,0,3,6.6,Codrington,Antigua and Barbuda,Great,Very Shallow,501187233627271.44,green,20.0196,Evening,Summer,0.6599999999999999,True
M 6.9 - Tonga,6.9,2023-07-02 10:27:00,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.853,-174.937,Tonga,Unknown,Unknown,2023,7,2,10,6,3,6.9,Tonga,,Great,Intermediate,1412537544622761.2,green,17.853,Morning,Summer,0.03013100436681223,False
M 7.2 - south of the Fiji Islands,7.2,2023-06-15 18:06:00,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.9824,-177.208,the Fiji Islands,Unknown,Unknown,2023,6,15,18,3,2,7.2,the Fiji Islands,,Severe,Intermediate,3981071705534985.5,green,22.9824,Afternoon,Spring,0.043009724976703065,False
M 6.6 - Panama-Colombia border region,6.6,2023-05-25 03:05:00,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.8894,-77.1231,Panama-Colombia border region,Unknown,Colombia,2023,5,25,3,3,2,6.6,Panama-Colombia border region,,Great,Very Shallow,501187233627271.44,green,8.8894,Night,Spring,0.6599999999999999,True
M 7.1 - southeast of the Loyalty Islands,7.1,2023-05-20 01:51:00,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.0622,170.456,the Loyalty Islands,Unknown,Unknown,2023,5,20,1,5,2,7.1,the Loyalty Islands,,Severe,Very Shallow,2818382931264449.0,green,23.0622,Night,Spring,0.19732636669353268,True
M 7.7 - southeast of the Loyalty Islands,7.7,2023-05-19 02:57:00,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.2286,170.694,the Loyalty Islands,Unknown,Unknown,2023,5,19,2,4,2,7.7,the Loyalty Islands,,Catastrophic,Very Shallow,2.2387211385683468e+16,green,23.2286,Night,Spring,0.42713707216952346,True
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,2023-05-10 16:02:00,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6002,-174.608,"Hihifo, Tonga",Unknown,Tonga,2023,5,10,16,2,2,7.6,Hihifo,Tonga,Catastrophic,Intermediate,1.5848931924611108e+16,green,15.6002,Afternoon,Spring,0.036173767355078844,False
M 6.6 - south of the Fiji Islands,6.6,2023-04-28 03:13:00,0,2,green,0,670,us,52,5.123,50.0,mww,598.467,-25.2657,178.424,the Fiji Islands,Unknown,Unknown,2023,4,28,3,4,2,6.6,the Fiji Islands,,Great,Very Deep,501187233627271.44,green,25.2657,Night,Spring,0.01102817699221511,False
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,2023-04-24 20:00:00,9,7,green,0,838,us,70,2.282,58.0,mww,15.462,-0.781,98.5339,"Teluk Dalam, Indonesia",Unknown,Indonesia,2023,4,24,20,0,2,7.1,Teluk Dalam,Indonesia,Severe,Very Shallow,2818382931264449.0,green,0.781,Evening,Spring,0.4591902729271763,True
"M 7.1 - Kermadec Islands, New Zealand",7.1,2023-04-24 00:41:00,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.0249,-177.897,"Kermadec Islands, New Zealand",Unknown,New Zealand,2023,4,24,0,0,2,7.1,Kermadec Islands,New Zealand,Severe,Very Shallow,2818382931264449.0,green,30.0249,Night,Spring,0.1648747184357801,True
M 6.7 - south of the Fiji Islands,6.7,2023-04-18 04:31:00,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.2844,179.391,the Fiji Islands,Unknown,Unknown,2023,4,18,4,1,2,6.7,the Fiji Islands,,Great,Very Deep,707945784384140.2,green,22.2844,Night,Spring,0.01124436523040879,False
"M 7.0 - 96 km N of Tuban, Indonesia",7.0,2023-04-14 09:55:00,5,3,green,0,818,us,131,1.881,31.0,mww,594.028,-6.0255,112.033,"Tuban, Indonesia",Unknown,Indonesia,2023,4,14,9,4,2,7.0,Tuban,Indonesia,Great,Very Deep,1995262314968882.8,green,6.0255,Morning,Spring,0.011783956311823685,False
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,2023-04-03 03:06:00,7,6,yellow,1,655,us,104,0.266,30.0,mww,105.631,52.7772,158.484,"the Kamchatka Peninsula, Russia",Asia,Russian Federation (the),2023,4,3,3,0,2,6.5,the Kamchatka Peninsula,Russia,Major,Shallow,354813389233576.06,yellow,52.7772,Night,Spring,0.06153496606109949,False
"M 7.0 - New Guinea, Papua New Guinea",7.0,2023-04-02 18:04:00,7,7,green,1,781,us,105,6.45,31.0,mww,62.603,-4.2924,143.155,"New Guinea, Papua New Guinea",Asia,Papua New Guinea,2023,4,2,18,6,2,7.0,New Guinea,Papua New Guinea,Great,Very Shallow,1995262314968882.8,green,4.2924,Afternoon,Spring,0.11181572768078207,False
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,2023-03-22 16:00:00,4,4,green,0,656,us,97,1.622,33.0,mww,209.976,-23.4797,-66.5108,"San Antonio de los Cobres, Argentina",South America,Argentina,2023,3,22,16,2,1,6.5,San Antonio de los Cobres,Argentina,Major,Intermediate,354813389233576.06,green,23.4797,Afternoon,Winter,0.030955918771669144,False
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,2023-03-21 16:47:00,7,5,green,0,1350,us,134,2.53,13.0,mww,187.589,36.5227,70.9787,"Jurm, Afghanistan",Asia,Afghanistan,2023,3,21,16,1,1,6.5,Jurm,Afghanistan,Major,Intermediate,354813389233576.06,green,36.5227,Afternoon,Winter,0.03465021936254258,False
M 6.8 - near the coast of Ecuador,6.8,2023-03-18 17:12:00,9,7,orange,1,1159,us,152,0.709,28.0,mww,65.842,-2.851,-79.8001,Ecuador,South America,Ecuador,2023,3,18,17,5,1,6.8,Ecuador,,Great,Very Shallow,1000000000000000.0,orange,2.851,Afternoon,Winter,0.10327754320950153,False
M 7.0 - Kermadec Islands region,7.0,2023-03-16 00:56:00,8,5,green,1,756,us,116,1.789,22.0,mww,22.065,-30.1147,-176.112,Kermadec Islands region,Unknown,Unknown,2023,3,16,0,3,1,7.0,Kermadec Islands region,,Great,Very Shallow,1995262314968882.8,green,30.1147,Night,Winter,0.31724450487196915,True
"M 6.9 - Kermadec Islands, New Zealand",6.9,2023-03-04 06:41:00,5,5,green,1,735,us,108,0.784,18.0,mww,205.681,-29.4748,-178.787,"Kermadec Islands, New Zealand",Unknown,New Zealand,2023,3,4,6,5,1,6.9,Kermadec Islands,New Zealand,Great,Intermediate,1412537544622761.2,green,29.4748,Night,Winter,0.033547094772973685,False
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,2023-03-02 18:04:00,7,6,green,1,653,us,66,5.483,45.0,mww,10.0,-15.3597,166.385,"Port-Olry, Vanuatu",Unknown,Vanuatu,2023,3,2,18,3,1,6.5,Port-Olry,Vanuatu,Major,Very Shallow,354813389233576.06,green,15.3597,Afternoon,Winter,0.65,True
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,2023-03-01 05:36:00,4,2,green,1,652,us,115,2.739,20.0,mww,598.925,-4.8138,149.487,"Kimbe, Papua New Guinea",Unknown,Papua New Guinea,2023,3,1,5,2,1,6.5,Kimbe,Papua New Guinea,Major,Very Deep,354813389233576.06,green,4.8138,Night,Winter,0.01085277789372626,False
"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,2023-02-23 00:37:00,9,7,green,0,737,us,128,1.783,20.0,mww,20.522,38.0726,73.2077,"Murghob, Tajikistan",Asia,Tajikistan,2023,2,23,0,3,1,6.8,Murghob,Tajikistan,Great,Very Shallow,1000000000000000.0,green,38.0726,Night,Winter,0.33135172010525293,True
"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,2023-02-06 10:24:00,9,9,orange,0,1411,us,135,0.85,17.0,mww,10.0,38.0235,37.203,"Ekinözü, Turkey",Asia,Turkiye,2023,2,6,10,0,1,7.5,Ekinözü,Turkey,Severe,Very Shallow,1.1220184543019652e+16,orange,38.0235,Morning,Winter,0.75,True
"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,2023-02-06 01:28:00,9,8,yellow,0,800,us,108,0.218,44.0,mww,14.497,37.4135,36.8306,"Nurdağı, Turkey",Asia,Turkiye,2023,2,6,1,0,1,6.7,Nurdağı,Turkey,Great,Very Shallow,707945784384140.2,yellow,37.4135,Night,Winter,0.46216458577636754,True
M 7.8 - Central Turkey,7.8,2023-02-06 01:17:00,9,9,red,0,2910,us,118,1.919,32.0,mww,17.925,37.2012,36.9997,Central Turkey,Asia,Turkiye,2023,2,6,1,0,1,7.8,Central Turkey,,Catastrophic,Very Shallow,3.162277660168379e+16,red,37.2012,Night,Winter,0.4351464435146443,True
"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,2023-01-18 06:06:00,3,5,green,1,756,us,130,1.974,17.0,mwc,28.566,2.7401,127.051,"Tobelo, Indonesia",Unknown,Indonesia,2023,1,18,6,2,1,7.0,Tobelo,Indonesia,Great,Very Shallow,1995262314968882.8,green,2.7401,Night,Winter,0.2450465588461808,True
"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,2023-01-09 17:47:00,5,7,green,0,957,us,114,1.575,21.0,mww,105.249,-7.0852,130.039,"Pulau Pulau Tanimbar, Indonesia",Unknown,Indonesia,2023,1,9,17,0,1,7.6,Pulau Pulau Tanimbar,Indonesia,Catastrophic,Shallow,1.5848931924611108e+16,green,7.0852,Afternoon,Winter,0.07220971220629174,False
M 7.0 - Vanuatu,7.0,2023-01-08 12:32:00,8,7,green,1,768,us,116,6.096,36.0,mww,29.0,-14.9383,166.878,Vanuatu,Unknown,Vanuatu,2023,1,8,12,6,1,7.0,Vanuatu,,Great,Very Shallow,1995262314968882.8,green,14.9383,Morning,Winter,0.2413793103448276,True
"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,2022-12-04 19:24:00,5,5,green,1,720,us,152,2.587,26.0,mww,38.0,-15.3983,-172.968,"Hihifo, Tonga",Unknown,Tonga,2022,12,4,19,6,4,6.8,Hihifo,Tonga,Great,Very Shallow,1000000000000000.0,green,15.3983,Evening,Fall,0.17894736842105263,True
"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,2022-11-22 02:03:00,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,"Malango, Solomon Islands",Oceania,Solomon Islands,2022,11,22,2,1,4,7.0,Malango,Solomon Islands,Great,Very Shallow,1995262314968882.8,green,9.7963,Night,Fall,0.5,True
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,2022-11-18 13:37:00,4,4,green,0,735,us,99,2.229,34.0,mww,25.0,-4.9559,100.738,"Bengkulu, Indonesia",Unknown,Indonesia,2022,11,18,13,4,4,6.9,Bengkulu,Indonesia,Great,Very Shallow,1412537544622761.2,green,4.9559,Afternoon,Fall,0.276,True
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,2022-11-11 10:48:00,5,5,green,1,833,us,149,1.865,21.0,mww,37.0,-19.2918,-172.129,"Neiafu, Tonga",Unknown,Tonga,2022,11,11,10,4,4,7.3,Neiafu,Tonga,Severe,Very Shallow,5623413251903491.0,green,19.2918,Morning,Fall,0.19729729729729728,True
M 7.0 - south of the Fiji Islands,7.0,2022-11-09 09:51:00,4,3,green,1,755,us,142,4.578,26.0,mwb,660.0,-26.0442,178.381,the Fiji Islands,Unknown,Unknown,2022,11,9,9,2,4,7.0,the Fiji Islands,,Great,Very Deep,1995262314968882.8,green,26.0442,Morning,Fall,0.010606060606060607,False
M 6.8 - south of the Fiji Islands,6.8,2022-11-09 09:38:00,1,3,green,1,711,us,136,4.678,22.0,mww,630.379,-25.9678,178.363,the Fiji Islands,Unknown,Unknown,2022,11,9,9,2,4,6.8,the Fiji Islands,,Great,Very Deep,1000000000000000.0,green,25.9678,Morning,Fall,0.010787161374347813,False
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,2022-10-20 11:57:00,7,6,green,1,797,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,"Boca Chica, Panama",Unknown,Panama,2022,10,20,11,3,4,6.7,Boca Chica,Panama,Great,Very Shallow,707945784384140.2,green,7.6712,Morning,Fall,0.335,True
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,2022-09-22 06:16:00,8,7,yellow,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,"Aguililla, Mexico",North America,Mexico,2022,9,22,6,3,3,6.8,Aguililla,Mexico,Great,Very Shallow,1000000000000000.0,yellow,18.33,Night,Summer,0.33999999999999997,True
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,2022-09-19 18:05:00,9,8,yellow,1,1799,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,"Aguililla, Mexico",North America,Mexico,2022,9,19,18,0,3,7.6,Aguililla,Mexico,Catastrophic,Very Shallow,1.5848931924611108e+16,yellow,18.3667,Afternoon,Summer,0.2820769773224956,True
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,2022-09-18 06:44:00,9,9,yellow,1,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,"Yujing, Taiwan",Asia,Taiwan,2022,9,18,6,6,3,6.9,Yujing,Taiwan,Great,Very Shallow,1412537544622761.2,yellow,23.1444,Night,Summer,0.6900000000000001,True
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,2022-09-17 13:41:00,7,7,green,1,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,"Lugu, Taiwan",Asia,Taiwan,2022,9,17,13,5,3,6.5,Lugu,Taiwan,Major,Very Shallow,354813389233576.06,green,23.029,Afternoon,Summer,0.65,True
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,2022-09-14 11:04:00,7,5,green,1,761,us,192,2.977,45.0,mww,137.0,-21.2077,170.239,"Isangel, Vanuatu",Unknown,Vanuatu,2022,9,14,11,2,3,7.0,Isangel,Vanuatu,Great,Shallow,1995262314968882.8,green,21.2077,Morning,Summer,0.051094890510948905,False
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,2022-09-10 23:47:00,8,8,yellow,1,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea,2022,9,10,23,5,3,7.6,Kainantu,Papua New Guinea,Catastrophic,Shallow,1.5848931924611108e+16,yellow,6.2237,Evening,Summer,0.06551724137931034,False
"M 6.6 - 44 km SE of Kangding, China",6.6,2022-09-05 04:52:00,9,8,orange,0,1043,us,141,8.454,34.0,mww,12.0,29.7263,102.279,"Kangding, China",Asia,People's Republic of China,2022,9,5,4,0,3,6.6,Kangding,China,Great,Very Shallow,501187233627271.44,orange,29.7263,Night,Summer,0.5499999999999999,True
M 6.6 - south of the Kermadec Islands,6.6,2022-08-14 13:44:00,7,6,green,1,672,us,68,5.293,34.0,mww,30.0,-32.6922,-178.959,the Kermadec Islands,Unknown,Unknown,2022,8,14,13,6,3,6.6,the Kermadec Islands,,Great,Very Shallow,501187233627271.44,green,32.6922,Afternoon,Summer,0.22,True
"M 7.0 - 11 km NE of Bantay, Philippines",7.0,2022-07-27 00:43:00,9,8,yellow,1,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,"Bantay, Philippines",Asia,Philippines,2022,7,27,0,2,3,7.0,Bantay,Philippines,Great,Very Shallow,1995262314968882.8,yellow,17.5978,Night,Summer,0.2075365412552996,True
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,2022-06-08 00:55:00,3,2,green,0,653,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,"Tarauacá, Brazil",South America,Brazil,2022,6,8,0,2,2,6.5,Tarauacá,Brazil,Major,Very Deep,354813389233576.06,green,9.0618,Night,Spring,0.010437910490902959,False
"M 7.2 - 10 km W of Azángaro, Peru",7.2,2022-05-26 12:02:00,7,5,green,1,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,"Azángaro, Peru",South America,Peru,2022,5,26,12,3,2,7.2,Azángaro,Peru,Severe,Intermediate,3981071705534985.5,green,14.8628,Morning,Spring,0.030508474576271188,False
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,2022-05-10 23:06:00,6,5,green,1,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",South America,Argentina,2022,5,10,23,1,2,6.8,San Antonio de los Cobres,Argentina,Great,Intermediate,1000000000000000.0,green,23.6141,Evening,Spring,0.030909090909090907,False
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,2022-04-21 07:42:00,6,5,green,1,762,us,0,0.914,94.0,mww,27.0,11.5538,-86.9919,"Masachapa, Nicaragua",Unknown,Nicaragua,2022,4,21,7,3,2,6.6,Masachapa,Nicaragua,Great,Very Shallow,501187233627271.44,green,11.5538,Morning,Spring,0.24444444444444444,True
M 7.0 - southeast of the Loyalty Islands,7.0,2022-03-31 05:44:00,6,4,green,1,763,us,0,2.705,26.0,mww,10.0,-22.5732,170.349,the Loyalty Islands,Unknown,Unknown,2022,3,31,5,3,1,7.0,the Loyalty Islands,,Great,Very Shallow,1995262314968882.8,green,22.5732,Night,Winter,0.7,True
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,2022-03-30 20:56:00,6,4,green,1,738,us,0,2.697,42.0,mww,10.0,-22.72,170.277,"Tadine, New Caledonia",Unknown,New Caledonia,2022,3,30,20,2,1,6.9,Tadine,New Caledonia,Great,Very Shallow,1412537544622761.2,green,22.72,Evening,Winter,0.6900000000000001,True
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,2022-03-22 17:41:00,8,7,green,1,806,us,0,0.289,32.0,mww,24.0,23.3421,121.636,"Hualien City, Taiwan",Asia,Taiwan,2022,3,22,17,1,1,6.7,Hualien City,Taiwan,Great,Very Shallow,707945784384140.2,green,23.3421,Afternoon,Winter,0.2791666666666667,True
"M 7.3 - 57 km ENE of Namie, Japan",7.3,2022-03-16 14:36:00,9,8,red,1,2397,us,0,2.936,29.0,mww,41.0,37.7015,141.587,"Namie, Japan",Unknown,Japan,2022,3,16,14,2,1,7.3,Namie,Japan,Severe,Very Shallow,5623413251903491.0,red,37.7015,Afternoon,Winter,0.17804878048780487,True
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,2022-03-13 21:09:00,9,6,green,0,708,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,"Pariaman, Indonesia",Asia,Indonesia,2022,3,13,21,6,1,6.7,Pariaman,Indonesia,Great,Very Shallow,707945784384140.2,green,0.6831,Evening,Winter,0.2392857142857143,True
"M 6.6 - Kermadec Islands, New Zealand",6.6,2022-03-02 12:52:00,2,7,green,1,670,us,0,0.827,46.0,mww,24.0,-30.0528,-177.74,"Kermadec Islands, New Zealand",Unknown,New Zealand,2022,3,2,12,2,1,6.6,Kermadec Islands,New Zealand,Great,Very Shallow,501187233627271.44,green,30.0528,Morning,Winter,0.27499999999999997,True
M 6.8 - south of the Fiji Islands,6.8,2022-02-16 20:21:00,2,3,green,1,712,us,0,5.78,12.0,mww,535.0,-23.7852,-179.968,the Fiji Islands,Unknown,Unknown,2022,2,16,20,2,1,6.8,the Fiji Islands,,Great,Very Deep,1000000000000000.0,green,23.7852,Evening,Winter,0.012710280373831775,False
"M 6.5 - 49 km NW of Barranca, Peru",6.5,2022-02-03 15:58:00,8,6,green,0,690,us,0,3.026,22.0,mww,110.0,-4.455,-76.9395,"Barranca, Peru",South America,Peru,2022,2,3,15,3,1,6.5,Barranca,Peru,Major,Shallow,354813389233576.06,green,4.455,Afternoon,Winter,0.05909090909090909,False
M 6.5 - Kermadec Islands region,6.5,2022-01-29 02:46:00,7,4,green,1,651,us,0,1.088,57.0,mww,8.0,-29.535,-176.729,Kermadec Islands region,Unknown,Unknown,2022,1,29,2,5,1,6.5,Kermadec Islands region,,Major,Very Shallow,354813389233576.06,green,29.535,Night,Winter,0.8125,True
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,2022-01-14 09:05:00,8,6,green,0,785,us,0,2.418,22.0,mww,33.0,-6.9291,105.251,"Labuan, Indonesia",Unknown,Indonesia,2022,1,14,9,4,1,6.6,Labuan,Indonesia,Great,Very Shallow,501187233627271.44,green,6.9291,Morning,Winter,0.19999999999999998,True
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,2022-01-11 12:39:00,0,3,unknown,1,650,at,97,1.61607,108.0,Mi,37.0,52.502,-168.08,"Nikolski, Alaska",Unknown,Alaska,2022,1,11,12,1,1,6.5,Nikolski,Alaska,Major,Very Shallow,354813389233576.06,unknown,52.502,Morning,Winter,0.17567567567567569,True
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,2022-01-11 12:39:00,0,3,unknown,1,650,pt,23,0.0,208.8,Mi,37.0,52.502,-168.08,"Nikolski, Alaska",Unknown,Alaska,2022,1,11,12,1,1,6.5,Nikolski,Alaska,Major,Very Shallow,354813389233576.06,unknown,52.502,Morning,Winter,0.17567567567567569,True
